account,benchmark_drr,march_drr,spend_chg_pct,benchmark_soi,march_soi,soi_chg_pp
CENTURY_GAMES,492114.08,676309.18,37.4,9.79,11.45,1.66
Luckymoney,36530.94,98017.59,168.3,6.42,11.62,5.2
AVIAGAMES,9914.71,18841.73,90.0,2.15,4.78,2.63
37GAMES,2158.77,6788.0,214.4,3.47,3.73,0.26
